id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
"LASXLHJ-001","李敖随写录后集","每人每年只花二十元买书","005.每人每年只花二十元买书.txt","9","9","怪力乱神","论语成句","《论语·述而》“子不语怪力乱神”成句","以怪异、勇力、悖乱、鬼神一类内容概括不正经的读物趣味。",""
"LASXLHJ-002","李敖随写录后集","中医解决不了检验问题","014.中医解决不了检验问题.txt","3","3","视病，尽见五藏症结，特以诊脉为名耳","史记引文","司马迁《史记·扁鹊仓公列传》","以扁鹊能看见五脏症结说明其诊病并非仅靠把脉。",""
"LASXLHJ-003","李敖随写录后集","中医解决不了检验问题","014.中医解决不了检验问题.txt","9","9","我有禁方，年老，欲传与公，公毋泄。","史记文句","司马迁《史记·扁鹊仓公列传》","长桑君向扁鹊传授秘方前的嘱托，保留为史传人物对白。",""
"LASXLHJ-004","李敖随写录后集","中医解决不了检验问题","014.中医解决不了检验问题.txt","9","9","饮是以上池之水，三十日当知物矣。","史记文句","司马迁《史记·扁鹊仓公列传》","长桑君告知扁鹊服药方法，带出“上池之水”的典故。",""
"LASXLHJ-005","李敖随写录后集","中医解决不了检验问题","014.中医解决不了检验问题.txt","11","11","上池之水","古籍典故","《史记·扁鹊仓公列传》典故语","指尚未落到地面的雨露之水，文中据以解释扁鹊传说。",""
"LASXLHJ-006","李敖随写录后集","中医解决不了检验问题","014.中医解决不了检验问题.txt","11","11","视见垣一方人","古籍典故","《史记·扁鹊仓公列传》文句","指能够看见墙另一边的人，文中用作解释扁鹊神视传说。",""
"LASXLHJ-007","李敖随写录后集","陈翰珍的真面目","027.陈翰珍的真面目.txt","11","11","若待有余而济人，则一生无济人之事。有心帮助人，就要强迫自己节衣缩食，民国十七年，设了翰珍奖助学金后，我连烟都戒了。","公益处世格言","陈翰珍语，《中国时报》专文转述，李敖摘录","以不等有余才济人、而要节衣缩食帮助人概括公益实践的主动性。","校对补入：只收济人处世句，不收同篇政治履历和雷震案语境。"
"LASXLHJ-008","李敖随写录后集","俞大维乃一浑人","037.俞大维乃一浑人.txt","7","7","经文纬武奇男子，特立独行大丈夫。","题字联语","毛子水题字","以经文纬武、特立独行称颂人物的才具与人格。",""
"LASXLHJ-009","李敖随写录后集","杨西崑来坐","051.杨西崑来坐.txt","5","5","你们没有办公厅，你们的办公厅就在田里。","现代工作格言","杨西崑语，李敖转录","以办公地点应在现场说明农耕队工作重在深入田间。","非政治内容；只收工作格言本体。"
"LASXLHJ-010","李敖随写录后集","乱世情鸯又二例","064.乱世情鸯又二例.txt","13","13","砣不离秤、秤不离砣","传统俗谚","传统俗谚","以秤砣相依比喻夫妻或伴侣分不开。","只收俗谚本体，不收两岸配偶名额新闻语境。"
"LASXLHJ-011","李敖随写录后集","收到章太炎字","082.收到章太炎字.txt","7","7","汉第六曲《战城南》，今第六曲《定武功》，言曹公初破邺，武功之定，始乎此也。","古籍乐志引文","《宋书·乐志》","解释汉魏鼓吹曲《战城南》《定武功》的承改关系。",""
