score	file	line	text	same_line_export_ids	context
8	004.谏诤——“宁鸣而死，不默而生！”.txt	73	我这回可跟比干等忠臣一起到地下去云游了，只不知道你们可怎么办！		像这类当作纪念品，当作一种鼓励和象征的事，宋徽宗是有根据的。汉朝成帝的时候，一个叫朱云的，本是陕西地方的一个小官，但他要求见皇帝。在大庭广众之间，皇帝接见了他。朱云说：“现在朝廷的大臣，都是站着职位吃白饭、不管事的，都不能帮皇帝的忙，我请求皇帝给我一把剑，杀个坏大臣，好给这些人一点警告。”皇帝一听，气起来了，说：“这个小官，居然在朝廷上侮辱大臣，杀掉他！”于...
8	004.谏诤——“宁鸣而死，不默而生！”.txt	73	这个小官，居然在朝廷上侮辱大臣，杀掉他！		像这类当作纪念品，当作一种鼓励和象征的事，宋徽宗是有根据的。汉朝成帝的时候，一个叫朱云的，本是陕西地方的一个小官，但他要求见皇帝。在大庭广众之间，皇帝接见了他。朱云说：“现在朝廷的大臣，都是站着职位吃白饭、不管事的，都不能帮皇帝的忙，我请求皇帝给我一把剑，杀个坏大臣，好给这些人一点警告。”皇帝一听，气起来了，说：“这个小官，居然在朝廷上侮辱大臣，杀掉他！”于...
8	004.谏诤——“宁鸣而死，不默而生！”.txt	77	你捡门牙，是不是要到法院告我？		另外一种情形，皇帝宽大是为了怕历史，怕历史家记他的不好。宋朝的太祖赵匡胤，喜欢打鸟（那时候没有猎枪，用的是弹弓）。有一天，玩得高兴，左右报告说，有大臣为了急事来求见，皇帝叫人把这个大臣叫进来听报告，听了半天，只是普通的事情。宋太祖气了，他问：“为什么这种普通的事现在来报告？”那大臣答说：“我认为这种事并不普通，至少比打鸟还重要！”皇帝更气了，立刻拿家伙打这大...
8	004.谏诤——“宁鸣而死，不默而生！”.txt	77	我认为这种事并不普通，至少比打鸟还重要！		另外一种情形，皇帝宽大是为了怕历史，怕历史家记他的不好。宋朝的太祖赵匡胤，喜欢打鸟（那时候没有猎枪，用的是弹弓）。有一天，玩得高兴，左右报告说，有大臣为了急事来求见，皇帝叫人把这个大臣叫进来听报告，听了半天，只是普通的事情。宋太祖气了，他问：“为什么这种普通的事现在来报告？”那大臣答说：“我认为这种事并不普通，至少比打鸟还重要！”皇帝更气了，立刻拿家伙打这大...
8	004.谏诤——“宁鸣而死，不默而生！”.txt	77	我怎么敢告皇帝？这件事，自然会有历史家去写！		另外一种情形，皇帝宽大是为了怕历史，怕历史家记他的不好。宋朝的太祖赵匡胤，喜欢打鸟（那时候没有猎枪，用的是弹弓）。有一天，玩得高兴，左右报告说，有大臣为了急事来求见，皇帝叫人把这个大臣叫进来听报告，听了半天，只是普通的事情。宋太祖气了，他问：“为什么这种普通的事现在来报告？”那大臣答说：“我认为这种事并不普通，至少比打鸟还重要！”皇帝更气了，立刻拿家伙打这大...
8	007.征兆——来头可不小.txt	115	两耳垂肩、双手过膝，目能自顾其耳	LADXT-034	祥瑞外一章是身体上的特征，所谓“圣人皆有异表”。什么“伏羲人身蛇首，神农人身牛首”、什么“黄帝龙颜”、什么“帝喾骈齿”、什么“尧眉八彩”、什么“舜目重瞳”、什么“禹耳三漏”、什么“汤臂三肘”、什么“文王四乳”、什么“武王望羊”、什么汉高祖“左股七十二黑子”、什么三国刘备“两耳垂肩、双手过膝，目能自顾其耳”、什么司马懿“面正向后，而身不动”、什么晋元帝“白毫生...
8	007.征兆——来头可不小.txt	115	面正向后，而身不动	LADXT-034	祥瑞外一章是身体上的特征，所谓“圣人皆有异表”。什么“伏羲人身蛇首，神农人身牛首”、什么“黄帝龙颜”、什么“帝喾骈齿”、什么“尧眉八彩”、什么“舜目重瞳”、什么“禹耳三漏”、什么“汤臂三肘”、什么“文王四乳”、什么“武王望羊”、什么汉高祖“左股七十二黑子”、什么三国刘备“两耳垂肩、双手过膝，目能自顾其耳”、什么司马懿“面正向后，而身不动”、什么晋元帝“白毫生...
8	007.征兆——来头可不小.txt	115	日角龙颜，垂手过膝	LADXT-034	祥瑞外一章是身体上的特征，所谓“圣人皆有异表”。什么“伏羲人身蛇首，神农人身牛首”、什么“黄帝龙颜”、什么“帝喾骈齿”、什么“尧眉八彩”、什么“舜目重瞳”、什么“禹耳三漏”、什么“汤臂三肘”、什么“文王四乳”、什么“武王望羊”、什么汉高祖“左股七十二黑子”、什么三国刘备“两耳垂肩、双手过膝，目能自顾其耳”、什么司马懿“面正向后，而身不动”、什么晋元帝“白毫生...
8	011.家族——人愈多愈好.txt	99	开祠堂，执家法	LADXT-038	中国家族的流弊，可真不少。家族观念走火入魔的时候，还要进一步“开祠堂，执家法”，包括依“族规”第几条第几款，应该打多少大板或别的。更超越前进的，是以族姓为单位，统统有奖。张献忠到四川，杀得兴起，“百家姓”中个个遭殃，但对“张亚子庙”、“张桓侯（张飞）庙”，因为同宗，一律优待；张献忠的老前辈黄巢更宽大，他在湖北，不但不杀姓黄的，甚至连带黄字的地方都一律放生，所...
8	012.女性——牌坊要大，金莲要小.txt	109	此必节烈妇人，来求旌表者也！		因为“众寡悬殊”，传说里有人死了也不服气。清朝乾隆皇帝下江南，看见“一妇人举止异常，行不甚速，而常在御舟之前”。找来问她是不是有冤？她只说了一句话：“我戚家寡妇也。”就忽然不见了，原来是女鬼。乾隆皇帝说：“此必节烈妇人，来求旌表者也！”于是如其所愿。
