file	line	context
《李敖风流自传》目录.txt	75	073.陈云裳与“那破碎的战场”
《李敖风流自传》目录.txt	127	125.王云五
《李敖风流自传》目录.txt	153	151.妖僧林云
《李敖风流自传》目录.txt	154	152.林云屠夫相
《李敖风流自传》目录.txt	155	153.林云眼中的二救星
《李敖风流自传》目录.txt	156	154.妖僧林云的同班
《李敖风流自传》目录.txt	210	208.所谓“中华台湾民主国”
《李敖风流自传》目录.txt	211	209.选择了胡适
《李敖风流自传》目录.txt	245	243.胡适送我一千元
《李敖风流自传》目录.txt	246	244.胡适通风报信
《李敖风流自传》目录.txt	260	258.老子挡在那儿
《李敖风流自传》目录.txt	309	307.胡适批评李敖
《李敖风流自传》目录.txt	313	311.胡适也是“匪谍”吗？
《李敖风流自传》目录.txt	317	315.胡适没写完的一封信
《李敖风流自传》目录.txt	343	341.雪中送炭云乎哉？
《李敖风流自传》目录.txt	474	472.“问白云”
《李敖风流自传》目录.txt	482	480.胡星妈名言
《李敖风流自传》目录.txt	486	484.刘会云
《李敖风流自传》目录.txt	500	498.老唱片与老歌曲
001.《李敖风流自传》破题.txt	3	英雄割据虽已矣！文采风流今尚存。——杜甫《丹青引》
001.《李敖风流自传》破题.txt	5	吾爱孟夫子，风流天下闻。我找李大师，云端不可寻。
001.《李敖风流自传》破题.txt	7	前两句是李白赞美孟浩然的诗。后两句是电脑云端找不到的诗。
003.两位老太太.txt	3	我的写法采“随意唠叨体”。我虽然已不耐繁剧文字，但自传例外，该啰唆之处，绝不轻饶，还要特别啰唆一下。汗牛也、充栋也、上网也、下载也，古今自传多矣，但最好的，出自两位老太太，一位是赵元任太太杨步伟，一位是胡适太太江冬秀。老太太式自传的最大好处，在她随意唠叨。唯其随意，故少弄假；唯其唠叨，故无遗珠。李敖者，行文固大手笔也，以大手笔效老妪书，能解老妪，方足以读自传...
005.地——我住在中国.txt	3	我否认“中华民国”的存在，有人问你不承认“中华民国”，那你住在哪里？我夷然答曰：“我住在中国。”所谓“中华民国”，事实上，根本相当于中国的一个省，以一个省的现状——拖了长达六十六年的现状，居然要“省可敌国”、“分庭抗礼”，这是很不要脸的抹杀事实的态度。如果大陆上一九四九年起没出现中华人民共和国，也许“中华民国”四字还可蒙混适用，但是，中华人民共和国早就成立了...
006.人——曾经走过这样一位血肉之躯.txt	3	总结八十年的成就，似乎止于“示范”与“播种”。李敖一生独来独往而能独立存在，贫贱不移、威武不屈，是为“示范”；又在年复一年重围中，自台岛流窜祖国，以自由智慧崇中反美为天下倡，是为“播种”。只是世界和中国太大，阻力也多，究竟能播多少种，难以评估。最后能把握的，也是以“示范”为主。爱因斯坦（A. Einstein）论印度圣雄甘地（M. Gandhi）说：“后代子...
010.视——息眼之所.txt	3	最喜欢把眼睛闭起来，埋在十七岁情人大腿的内侧。光滑、柔软、温暖、香馨，还有弹性……眼睛埋在那里，我愿从此一瞑不视，那是我永远向往的安息地方。不但大腿内侧是我“息眼之所”。年复一年的辛苦、日复一日的萦扰，在须臾之间，全化为无形，出现在目前的，只有横陈裸体，恰似那《神女赋》中的云梦人儿，或近或远、或俯或仰，陪你解脱又为你解脱，让你飘浮天上，又婆娑人间。全部起点始...
016.我写《虚拟的十七岁》.txt	5	莎士比亚的《威尼斯商人》第四幕第一景里，有Bellario（贝拉利欧）那封介绍信的话。信中说，介绍来的人儿是so young a body with so old a head（身体，年轻的；头脑，年深的）。《威尼斯商人》写成在16世纪，到了17世纪，英国Strafford（斯垂弗德），就是后来被国会砍了头的大臣Thomas Wentworth（温特沃斯），...
016.我写《虚拟的十七岁》.txt	9	不过，崇尚科技的科学怪人们不相信，他们不怕好梦遥远，他们不是要把遥远拉近，而是要追上遥远。这些科学怪人未必熟悉莎士比亚和斯垂弗德，但是，不谋而合，同做好梦，却是真的。他们都要“身体，年轻的；头脑，年深的”。
