action	target	source_file	line_range	quote_or_candidate	reason
add	LABKJ-012	001.李敖与“编辑室报告”.txt	393-393	不辞其志，不辱其身	校对补入：按原文“不辞”保留，作为《论语》成句变体处理。
add	LABKJ-019	005.被封杀的《千秋评论》.txt	81-81	有一分证据说一分话，有九分证据不能说十分话	校对补入：只收方法论格言本体，不收同篇办刊争辩。
add	LABKJ-020	005.被封杀的《千秋评论》.txt	87-87	尽己之谓忠，推己及人之谓恕	校对补入：只收忠恕释义本体，不收附录中现代道德裁判争辩。
add	LABKJ-021	005.被封杀的《千秋评论》.txt	87-87	东圣西圣，心同理同	校对补入：只收会通格言本体，不收附录中现代道德裁判争辩。
add	LABKJ-022	006.《万岁评论》缘起.txt	61-61	预伏锦囊计	校对补入：只收典故本体，不收政治犯入狱和出版法语境。
add	LABKJ-023	006.《万岁评论》缘起.txt	61-61	拆开锦囊视之	校对补入：只收典故文句，不收政治犯入狱和出版法语境。
add	LABKJ-038	010.乌鸦的心愿.txt	9-9	O'er his white banes, when they are bare,The wind sall blaw for evermair.	校对补入：与前一条中文译句对照保留。
add	LABKJ-040	012.《求是报》1991年2月27日创刊.txt	11-11	Oh，East is East，and West is West，and never the twain shall meet	校对补入：与前一条中文译语对照保留。
exclude		001.李敖与“编辑室报告”.txt	261-261	权利之行使不得以损害他人为主要目的	校对复核：现代民法权利语境，未收
exclude		005.被封杀的《千秋评论》.txt	91-91	容忍是一切自由的根本，没有容忍‘异己’的雅量，就不会承认‘异己’的宗教信仰可以享受自由。	校对复核：现代民主自由和政治思想讨论，未收
