file	line	text	reason	context
001.第一条多了什么？.txt	3	中华民国基于三民主义，为民有民治民享之民主共和国。	modern-political-news-context	国民党龙头学者萨孟武写《中国宪法新论》，对《中华民国宪法》第一条：“中华民国基于三民主义，为民有民治民享之民主共和国。”有意见如下：
001.第一条多了什么？.txt	5	民有民治民享	modern-political-news-context	案“民有民治民享”为林肯（A. Lincoln）所说of the people, by the people, for the people的译语。我赞成刘庆瑞教授的意见，民主共和已含有“民有民治民享”之涵义，国体既为共和，而政体又是民主了，再加上这个形容词，似是同语反复（tautology），善哉，谢瀛洲教授之言：“以外国人所倡之口号，冠之于自己国体之上，已非光荣。且此种口号，仅适用之于一国政体，而不能适用之于一国国体。兹竟移置于国体条文之上，诚属憾事”。也许民生主义还可以勉强包括于“民享”之中，民族主义似与“民有”二字未必一致。
001.第一条多了什么？.txt	5	以外国人所倡之口号，冠之于自己国体之上，已非光荣。且此种口号，仅适用之于一国政体，而不能适用之于一国国体。兹竟移置于国体条文之上，诚属憾事	modern-political-news-context	案“民有民治民享”为林肯（A. Lincoln）所说of the people, by the people, for the people的译语。我赞成刘庆瑞教授的意见，民主共和已含有“民有民治民享”之涵义，国体既为共和，而政体又是民主了，再加上这个形容词，似是同语反复（tautology），善哉，谢瀛洲教授之言：“以外国人所倡之口号，冠之于自己国体之上，已非光荣。且此种口号，仅适用之于一国政体，而不能适用之于一国国体。兹竟移置于国体条文之上，诚属憾事”。也许民生主义还可以勉强包括于“民享”之中，民族主义似与“民有”二字未必一致。
001.第一条多了什么？.txt	5	民享	modern-political-news-context	案“民有民治民享”为林肯（A. Lincoln）所说of the people, by the people, for the people的译语。我赞成刘庆瑞教授的意见，民主共和已含有“民有民治民享”之涵义，国体既为共和，而政体又是民主了，再加上这个形容词，似是同语反复（tautology），善哉，谢瀛洲教授之言：“以外国人所倡之口号，冠之于自己国体之上，已非光荣。且此种口号，仅适用之于一国政体，而不能适用之于一国国体。兹竟移置于国体条文之上，诚属憾事”。也许民生主义还可以勉强包括于“民享”之中，民族主义似与“民有”二字未必一致。
001.第一条多了什么？.txt	5	民有	modern-political-news-context	案“民有民治民享”为林肯（A. Lincoln）所说of the people, by the people, for the people的译语。我赞成刘庆瑞教授的意见，民主共和已含有“民有民治民享”之涵义，国体既为共和，而政体又是民主了，再加上这个形容词，似是同语反复（tautology），善哉，谢瀛洲教授之言：“以外国人所倡之口号，冠之于自己国体之上，已非光荣。且此种口号，仅适用之于一国政体，而不能适用之于一国国体。兹竟移置于国体条文之上，诚属憾事”。也许民生主义还可以勉强包括于“民享”之中，民族主义似与“民有”二字未必一致。
001.第一条多了什么？.txt	7	民有民治民享	modern-political-news-context	关于孙中山和国民党在林肯“民有民治民享”问题上的引喻失义，我曾写《我对林肯盖梯斯堡演说的疑义》（《千秋评论》第三十五期）一文，予以评论，这里不再多说。萨孟武赞许刘庆瑞、谢瀛洲的话，刘庆瑞《中华民国宪法要义》原文说这第一条“远不如五五宪章第一条‘ 中华民国为三民主义共和国’之刚劲有力。”谢瀛洲《中华民国宪法论》原文说“修正文既不如五五宪草原文之简洁刚劲。”看了这些话，我忍不住笑着说：这些路数的学者呀！他们以为《中华民国宪法》第一条多了“民有民治民享”的字眼为同语反复、为“未免有冗赘之嫌”（刘庆瑞语）、为不如五五宪草“刚劲有力”、“简洁刚劲”，其实真正多的，岂止“民有民治民享”六个字，而在“三民主义”四个字啊！
001.第一条多了什么？.txt	7	远不如五五宪章第一条‘ 中华民国为三民主义共和国’之刚劲有力。	modern-political-news-context	关于孙中山和国民党在林肯“民有民治民享”问题上的引喻失义，我曾写《我对林肯盖梯斯堡演说的疑义》（《千秋评论》第三十五期）一文，予以评论，这里不再多说。萨孟武赞许刘庆瑞、谢瀛洲的话，刘庆瑞《中华民国宪法要义》原文说这第一条“远不如五五宪章第一条‘ 中华民国为三民主义共和国’之刚劲有力。”谢瀛洲《中华民国宪法论》原文说“修正文既不如五五宪草原文之简洁刚劲。”看了这些话，我忍不住笑着说：这些路数的学者呀！他们以为《中华民国宪法》第一条多了“民有民治民享”的字眼为同语反复、为“未免有冗赘之嫌”（刘庆瑞语）、为不如五五宪草“刚劲有力”、“简洁刚劲”，其实真正多的，岂止“民有民治民享”六个字，而在“三民主义”四个字啊！
001.第一条多了什么？.txt	7	修正文既不如五五宪草原文之简洁刚劲。	modern-political-news-context	关于孙中山和国民党在林肯“民有民治民享”问题上的引喻失义，我曾写《我对林肯盖梯斯堡演说的疑义》（《千秋评论》第三十五期）一文，予以评论，这里不再多说。萨孟武赞许刘庆瑞、谢瀛洲的话，刘庆瑞《中华民国宪法要义》原文说这第一条“远不如五五宪章第一条‘ 中华民国为三民主义共和国’之刚劲有力。”谢瀛洲《中华民国宪法论》原文说“修正文既不如五五宪草原文之简洁刚劲。”看了这些话，我忍不住笑着说：这些路数的学者呀！他们以为《中华民国宪法》第一条多了“民有民治民享”的字眼为同语反复、为“未免有冗赘之嫌”（刘庆瑞语）、为不如五五宪草“刚劲有力”、“简洁刚劲”，其实真正多的，岂止“民有民治民享”六个字，而在“三民主义”四个字啊！
001.第一条多了什么？.txt	7	未免有冗赘之嫌	modern-political-news-context	关于孙中山和国民党在林肯“民有民治民享”问题上的引喻失义，我曾写《我对林肯盖梯斯堡演说的疑义》（《千秋评论》第三十五期）一文，予以评论，这里不再多说。萨孟武赞许刘庆瑞、谢瀛洲的话，刘庆瑞《中华民国宪法要义》原文说这第一条“远不如五五宪章第一条‘ 中华民国为三民主义共和国’之刚劲有力。”谢瀛洲《中华民国宪法论》原文说“修正文既不如五五宪草原文之简洁刚劲。”看了这些话，我忍不住笑着说：这些路数的学者呀！他们以为《中华民国宪法》第一条多了“民有民治民享”的字眼为同语反复、为“未免有冗赘之嫌”（刘庆瑞语）、为不如五五宪草“刚劲有力”、“简洁刚劲”，其实真正多的，岂止“民有民治民享”六个字，而在“三民主义”四个字啊！
001.第一条多了什么？.txt	7	刚劲有力	modern-political-news-context	关于孙中山和国民党在林肯“民有民治民享”问题上的引喻失义，我曾写《我对林肯盖梯斯堡演说的疑义》（《千秋评论》第三十五期）一文，予以评论，这里不再多说。萨孟武赞许刘庆瑞、谢瀛洲的话，刘庆瑞《中华民国宪法要义》原文说这第一条“远不如五五宪章第一条‘ 中华民国为三民主义共和国’之刚劲有力。”谢瀛洲《中华民国宪法论》原文说“修正文既不如五五宪草原文之简洁刚劲。”看了这些话，我忍不住笑着说：这些路数的学者呀！他们以为《中华民国宪法》第一条多了“民有民治民享”的字眼为同语反复、为“未免有冗赘之嫌”（刘庆瑞语）、为不如五五宪草“刚劲有力”、“简洁刚劲”，其实真正多的，岂止“民有民治民享”六个字，而在“三民主义”四个字啊！
