score	file	line	text	context
7	001.关于《胡适评传》.txt	3	呵，李先生，连我自己都忘记了、丢光了的著作，你居然都能找得到，你简直比我胡适之还了解胡适之！	民国四十六年（1957）的3月1日，我在《自由中国》杂志上发表了一篇六千多字的文章 ——《从读<胡适文存>说起》（现收入《胡适研究》，改题《关于<胡适文存>》）。文章发表后一年一个月，胡适从美国回来，约我到钱思亮的家里，跟我说：“呵，李先生，连我自己都忘记了、丢光了的著作，你居然都能找得到，你简直比我胡适之还了解胡适之！”
6	001.关于《胡适评传》.txt	5	20多年前叶青写完了这部书，寄了一套给我，要我答复，我本来写好了一封信答他，后来一想：叶青在书里说我不必盖棺，论就定了，在他眼中，我已是死掉的人了，死人还能说些什么呢？所以我一直没有理他。	那时我已有给他写本传记的意思，但是我一直没跟他提起。我只提到几部批评他的书，像李季的《胡适<中国哲学史大纲>批判》、叶青（任卓宣）的《胡适批判》、谭天的《胡适与郭沫若》等。对谭天的《胡适与郭沫若》，他根本不知道有这本书；对叶青的《胡适批判》，他回忆说：“20多年前叶青写完了这部书，寄了一套给我，要我答复，我本来写好了一封信答他，后来一想：叶青在书里说我不必盖...
8	001.关于《胡适评传》.txt	7	我已是死掉的人了，死人还能说些什么呢？	如今，7年过去了，胡适之从生龙活虎转入墓草久宿，从声容笑貌变成一棺孤骨。但是，每当我在南港的高压电线底下，走上了胡适的坟头，我都仿佛听到一种熟悉的声音在向我感叹：——“我已是死掉的人了，死人还能说些什么呢？”
4	001.关于《胡适评传》.txt	9	死掉的人	于是，我又捡起七八年前的心愿，想给胡适写部传。不过这回不再是一本了，我决定给他写一部十本的大传记，我要用这一百二三十万字的大传记，让“死掉的人”重新“活过来”，让他重新“说些什么”①，也让我们“说些什么”。
3	001.关于《胡适评传》.txt	9	说些什么	于是，我又捡起七八年前的心愿，想给胡适写部传。不过这回不再是一本了，我决定给他写一部十本的大传记，我要用这一百二三十万字的大传记，让“死掉的人”重新“活过来”，让他重新“说些什么”①，也让我们“说些什么”。
3	001.关于《胡适评传》.txt	27	说些什么	①：我热烈希望凡是和胡适有关系的人，都能帮助我这个使他“说些什么”的计划。这意思就是说，凡是知道或保存有关胡适的言行、文件、信札、图片、稿本等材料的人，都欢迎能够提供、惠借，好使这部评传增色。在传记文学不发达的中国，在这个动乱的时代，试问能有几部一百二三十万的传记来收入你所知道或保存的材料？所以请你不要错过这个广布流传的机会。
8	001.关于《胡适评传》.txt	29	正文轻快，脚注详细	②：我尽量不在正文里掺入繁琐的历史考订，我的目标是“正文轻快，脚注详细”。这种做法是一种费力不讨好的工作。我所以不能放手写文学式的正文，而要兼顾历史性的脚注，乃是因为有关胡适的基层史料工作还没有人做好，所以我不能自自在在的走斯特雷奇（Lytton Strachey）、莫洛亚（Andre Maurois）等人的路。
5	003.可怜的县太爷（1841-1895）.txt	55	代理边州，兼为统将	这个小官在台东，干得很起劲，今天出示“斋戒求雨”(11)，明天去调查鸦片烟(12)，后天又赶写《台东州采访册》(13)，然后，再上书给他的老师吴大澂，报告“代理边州，兼为统将”的经过，统率“三营五哨”“一千七百五十余人”的经过。总之，他似乎还满意，至少不再求他老师写八行书，放他“生还”了！
5	003.可怜的县太爷（1841-1895）.txt	61	不动声色，照常防守，暂顾目前	就在日本兵开始登陆这天，这位台东县长呈请辞职，“自请开缺回籍治病”，在他提出辞呈前九天，清朝政府已经电令在台湾的文武各员“陆续内渡”了，在别人都纷纷回大陆的时候，没有人注意到这个远在东边的小官儿。他无可奈何，只好“不动声色，照常防守，暂顾目前”。
3	003.可怜的县太爷（1841-1895）.txt	65	东亚第一个民主国的第一个牺牲者	在“台湾民主国”成立后一个月，写这张遗嘱以后第五天（闰五月初3，6月25日），他总算被准离开台东，这时他的脚气病已经很重了，在路上，不但左脚肿胀，并且还遇到两次土匪。总算千辛万苦，到了安平。黑旗将军刘永福一看他来，硬把他拖住帮忙(18)，但是他身体到底垮了，又吐又泻，两脚全都瘫痪了。刘永福只好放他走。他在日本兵攻陷苗栗那天（六月二十五日，8月15日）上船，三...
6	003.可怜的县太爷（1841-1895）.txt	99	我父亲于十八年二月底到台湾	③胡适在《九年的家乡教育》（《新月》第三卷第三期，二十年四月上海出版，后收入《四十自述》一，上海亚东版，台北六艺版，远东版）里说“我父亲于十八年二月底到台湾”。其实他父亲到台湾的日子是二月二十四日，不能说是“二月底”。
3	003.可怜的县太爷（1841-1895）.txt	99	二月底	③胡适在《九年的家乡教育》（《新月》第三卷第三期，二十年四月上海出版，后收入《四十自述》一，上海亚东版，台北六艺版，远东版）里说“我父亲于十八年二月底到台湾”。其实他父亲到台湾的日子是二月二十四日，不能说是“二月底”。
3	003.可怜的县太爷（1841-1895）.txt	123	公家人	老兄是一个“公家人”，是国家的大臣，身系国家大事，责任不轻。（1963年4月11日台北《联合报》）
5	003.可怜的县太爷（1841-1895）.txt	131	特保候选训导胡传以知县留于吉林，酌量奏补	吴大澂最帮胡传忙的那一次是在光绪八年（1882）九月。传抄本《愙斋自订年谱》里曾记这年九月初三“特保候选训导胡传以知县留于吉林，酌量奏补”。同月十五日的《东华续录》上，有上谕说：“吴大澂奏特保贤才恳思破格擢用一折，候选训导胡传着以知县留于吉林，酌量补用，该部知道。”
