file	line	context
《李敖刀笔集》小引.txt	3	中国近代有所谓“刀笔精华”一类书出版，教人打官司，迹其所为，盖“刀笔吏”之流亚，不足登堂入法。但今日法网灰灰而不恢恢，亦令人忧虑。有识之士如李敖者深感“刀笔精华”虽不可取，但“新刀笔精华”却不可无，这本《李敖刀笔集》就是这样一个范本。从这本书中，你不但可以看到李敖恢复了恢恢的法网，并且张开天网，也让它恢恢起来。——正义之士的快意就在这里。斯文在兹，斯法在焉。
001.告徐复观的状子.txt	33	一、李敖诉状，提到“中西文化争论”问题；本人首应声明，在文化讨论中，本人从不以李敖为对手。盖身为现代之中国人，不论其愿意与否，一方面必受本国文化之影响，故旅居美国数世之华侨，其血液中仍多浸透有祖国之文化。一方面亦必受西方文化之影响，故穷乡僻壤之村妪野老，西方文化，亦必深入于其生活环境之中。对于每一文化研究工作者而言，其所从事者，乃对于每一具体文化问题之了解、把握。其所关心者，乃对于每一具体文化问题所了解、把握者，有无错误。至于一般所谓中化西化之争，乃空洞笼统，无从讨论之过时口号，与文化研究工作者毫无关涉。例如本人研究中国文化，但在与西方文化有关连之范围内，对西方文化，无不竭力追求。而于科学之提倡，民主之实现，尤竭尽心力之所能至。此有本人两百万字左右之著作，可资证明。李敖谈中化西化争论问题，为其控诉之背景与前提，乃落伍之障眼法，对本人毫不适用。且本人未曾发现李敖一篇学术性之论文；在其连篇累牍之骂人文章中，不能发现其具有何种学术中之
001.告徐复观的状子.txt	73	作为一个青年人，一个旁观者对于所谓“李敖问题”，雅不愿见人施予太大的压力。多少怪现象，我们都容纳了；一个吵吵闹闹的“孩子”，容纳不了？我们面对的敌人，有那么多唬人的玩艺，尚且无所畏怯；区区李敖，一怪物耳，何足道哉？
001.告徐复观的状子.txt	103	徐复观教授在答辩书中说：“此次因李敖之控诉，遂捜集与本案有关之文字，始初步发现，李敖对本人，自五十年二月起，至五十三年六月一日止，指名诽谤本人者，有六次之多。如附表一。……此种重大罪行，本人有加倍反控之权利；但本人宁愿放弃此权利……以贯彻年来不以李敖为任何问题上之对手之态度。”这一段话，表明徐复观教授有高度的容忍雅量，不与李敖计较。徐复观教授主张民主自由，研究学术思想，宣扬中国文化，贡献很多，其声誉当不是李敖诽谤所能损害的。所谓“真金不怕火来烧”是。
001.告徐复观的状子.txt	117	从前有过一个文化清洁运动，是很对的。但它并未包括骂人文章，那时只在赤、黄、黑各色作品之清除。现在希望文化界自我节制，不待他人之清除。凡在文化界活动的人，无论写文章和编刊物，只能就学术论学术，就思想论思想，就事实论事实，不应超出题外骂人。谁愿挨骂？子贡曰：“我不欲人之加诸我也，吾亦欲无加诸人。”因此，骂人的文章大可不写，大可不刊载。能做到这样，文化清洁了，社会风气也好起来。
002.告洪徐一状.txt	15	且本人于1月7日（或8日）从报上得知李敖对本人提出自诉，并以《废人废话》上“被封为小疯狗李敖”之语作证时，本人因对此事事先毫无所知，故即写信与洪炎秋先生询问究竟。洪先生于1月12日复信中除说明“小疯狗一语，原由狗嘴里掉不出象牙一个成语而来，自己担当”等语外，并谓此乃“李敖小题大做，冀出风头，确实无聊”“迹近胡闹”。洪先生所言，实系反映社会上一般人之观点。由此亦不难窥见李敖挑起诉讼之动机何在（见证据甲）。（证据一）
002.告洪徐一状.txt	45	来函及附件均已敬悉。愚在《废人废话》中所用“小疯狗”一词，系从杂志中取来者，书写当时，并不记忆系何杂志，系何人所写，只以要用台端评语，特用来幽他一默，因此随便用上，未计后果，今承示徐先生原文，似即愚语所本。徐先生并未明指台端之名，而愚以台大圈中，除台端外，甚少“骂中国文化、骂中国文化之人”，故加以引用，今竟因而引起问题，心甚歉然，甚盼彼此惺惺相惜，不为已甚。愚之疏忽，则愿接受一切应有之后果，亦即台端所谓好汉做事好汉当也。专此奉复，顺颂
003.所谓“小疯狗”与法律.txt	1	所谓“小疯狗”与法律
003.所谓“小疯狗”与法律.txt	17	第查被告在前述《民主评论》及《新闻天地》中之志述文字所谓“少数两三人”、“一二人”、“一两条小疯狗”及“利用一个特殊学生”等，均未指出特定之人，苟非被告在本件自诉中指述，其不特定之多数读者，亦无从推知在上列文字中所称“一两条小疯狗”等系指自诉人，事证至明。
003.所谓“小疯狗”与法律.txt	43	为了从所谓“不特定之多数读者”取得一点看法，我举出几点证据来证明一些“不特定之多数读者”，如何从被告徐复观的诽谤文字中来一望而知或“推知”是李敖：
003.所谓“小疯狗”与法律.txt	49	（三）民国五十三年8月16日台北《中华杂志》第二卷第八期（第36页、第40页）中，也曾根据被告徐复观诽谤文字，用所谓“疯狗”、“疯狗之势”、“疯狗也是伪装的”、“疯狗不认人的”等话诽谤我。（新证一）
003.所谓“小疯狗”与法律.txt	51	（四）前项杂志在民国五十四年2月16日第三卷第二期（第38页）中，也曾“支持徐复观先生的此一谴责”，并援用被告徐复观所谓的“汉奸或汉奸的奴才”等话来诽谤我。（新证二）
003.所谓“小疯狗”与法律.txt	95	就法理而论，中央书局、洪炎秋先生在《废人废话》书面夹页中对我的诽谤文字，是属于另一案件的，这是常识，更是稍知法理的人所该知道的常识。我在自诉状中所举证的，是以《废人废话》一书为例，从而证明“不特定的”第三人亦足以“推知”（甚至一望而知），被告徐复观诽谤文字中所谓的“一两条小疯狗”、“这条小疯狗”、“这种小疯狗”都是指李敖，最后造成“被封为‘小疯狗’”的恶劣结果。原审判决没有弄清我引证《废人废话》的局限意义，却反过来硬判了中央书局、洪炎秋先生一下，显然是不正确的。
004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	25	可是，糟糕的是，这张刑事裁定的送达对象竟不是别人，而是“最细心为文，也最会批评别人”的“李敖先生”（1963年2月15日台北《中央日报》副刊毛一波《夜读钞》中语）。“李敖先生”不是傻瓜，这是“李敖先生”的爸爸妈妈朋友妹子都知道的。且“人贵自知”，当然，“李敖先生”自己也知道得最清楚。“李敖先生”今晚在披读这张刑事裁定之下，不禁拍案张口大笑曰：“这种偷天换日欲盖弥彰的可笑裁定书，只能瞒倒三岁黄口小儿、瞒倒乳臭未干的小儿、瞒倒先天不足后天失调的傻瓜儿，岂可瞒住老夫耶？待老夫及锋而试，将这一纸裁定抽丝剥茧，照照它的原形吧！ ”
004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	29	在这个月《文星》第九十期里登出我的一篇《所谓“小疯狗”与法律——李敖控徐复观诽谤案上诉状》，其中有一段说：
004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	103	谁都知道，在诉讼程序中，自诉人和被告是站在两个截然不同的地位的。一个攻击，一个防御。任何一方的言词，如果移到另一方的头上，整个案情的情节就完完全全变了，像这样有重大影响全案情节的文字，是绝不能以“文字误写”这四个字，轻描淡写地扯过去的。推事孙嘉禄似乎不明白这样浅显的法律知识，因此他居然写下“‘被告’两字系‘自诉人’三字之误写”这一所谓裁定！真是笑话笑话！
004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	111	查刑事判决正本送达后，发现原本错误，不得以裁定更正，为钧院院字第1857号解释前段所明示。唯其后段至此项错误如果确系文字误写自可以通常方式更正之等语，所谓通常方式，系指何种方式而官，似欠明了；所谓文字误写，其范围若何，是否包括一切文字如被告名字之误写一字（例如张三误写为张四）亦在其内，并得以通常方式更正之；抑被告名字既有错误，不能视同文字误写，则对此所为判决，能否认为违背刑事诉讼法第245条得为非法上诉之理由，尤属不无疑义，适用上殊感困难。似有重加解释之必要。理合传文呈请钧院解释示遵。
004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	187	这些记录都说明了徐复观自供他所写的“李×”就是指的“李敖”，为了所谓“蓄意避免诽谤”，才称“李×”。这真是可笑的辩解！——他不自觉的把他的“动机”（motive）和“恶意”（malice），完完全全的泄露出来了！
004.就一张台中地方法院的刑事裁定说说一个法官的法律知识.txt	189	像被告徐复观这样欲盖弥彰的明白指述，推事孙嘉禄居然在初审判决里轻轻放过。——这已是目无法理的事了；等到初审判决确定以后，推事孙嘉禄居然变本加厉，在判决四十二天以后，突然心血来潮，又发现所谓笔误啦！于是一纸不通的裁定书，颠倒“被告”与“自诉人”，把判决书中仅有的一点表面的公正纪实也不要了。——这是更目无法理的事了！
005.控徐复观的一些补充理由.txt	9	二、自诉人追加被告犯罪事实，提出告诉，曾提出被告公开散发所谓“答辩书”，中诬自诉人“李敖系以诽谤为专业”等语，被告亦当庭承认公开散发不讳。被告之“答辩书”除刊登于香港之《新闻天地》外，并登2月21日《征信新闻报》、22日《华报》，更将“答辩书”全文及附表，投寄《作家》杂志第一卷第五期（证据二），除由被告当庭承认外，该杂志该期第2页中亦明揭由被告“寄送”。由此更可证明被告犯罪之连续性，更证明其答辩范围，早已逸出法律范围之外。
005.控徐复观的一些补充理由.txt	39	查刑法第309条公然侮辱罪及同法第310条诽谤罪，均系侵害个人名誉法益之罪，与公益犯罪有别，故其被害客体，必以特定人或可推知之人为限，如非对于特定人或可推知之人所发之言论，即不能构成各该条犯罪，司法院三十七年院解字第3806号解释例解释甚明。所谓可推知之人，自指在客观上一般不特定之多数人可以推知之人而言。本件上诉人李敖指诉被告徐复观在五十三年7月5日，《民主评论》第十五卷第十三期，郑震宇所著《参加台湾大学毕业典礼有感》一文内，被告“谨志”文字中称：一、“以胡适为衣食父母的少数两三人……豢养一两条小疯狗，专授以‘只咬无权无势的人’的心法，凡是无权无势的读书人，无不受到这条小疯狗的栽诬辱骂。”二、“这种小疯狗年来便一口骂尽中国文化，一口骂尽讲中国文化的人，说是义和团，意思是要请洋人来开刀，以便在精神上完全切断民族团结的纽带，完成他们‘是汉奸的奴才’的目的。”并于同年10月10日，《新闻天地》第二十年第四十一号被告所著《有关台湾大学一
006.从四文件看台中地方法院.txt	17	查自诉案件经调查结果认为被告行为不成立犯罪时（与行为不罚相当）得以裁定驳回自诉，刑事诉讼法规定甚明，又刑法第309条之妨害名誉罪，系以公然为要件。所谓公然，乃指不特定之多数人得以共见共闻之情形而言。
006.从四文件看台中地方法院.txt	89	又刑法第309条之妨害名誉罪，系以公然为要件。所谓公然，乃指不特定之多数人得以共见共闻之情形而言。本件自诉意旨所称被告等共同触犯该条之罪，无非以被告徐复观于本年5月对台中地方法院同年度易字第211号刑事判决所提上诉之答辩状中语涉侮辱，并将被告洪炎秋来往书信中部分语句载入答辩状云云为论据。本院查诉讼当事人所提之答辩状，乃专供审理该案推事作为裁判上参考之用，并非任何人所得共见共闻，殊为明显。纵令被告于答辩状中所使用防御方法或词句用语容有未当，唯既无公然传播宣扬之行为，即与妨害名誉罪之构成要件不符，自无令负刑责之可言。
006.从四文件看台中地方法院.txt	139	二、在这张硬把“证人”当“自诉人”，而妄言“追加自诉徐复观部分以撤回论”的所谓“通知”，在公文程式上，也是颇有问题的。它不以台中地方法院李庆鹤院长出面，而是以“台湾台中地方法院书记室”的名义发出的。在责任归属方面，表现得极不明确。（我在同一信封接到的另一张中庆知刑泾字第13920号通知，却署名的是“院长李庆鹤” ！）对这件公然违法的所谓“通知”，我现在要采取法律行动，我却不知道要告谁！所以我现在正式要求书面答复：到底谁负这项公然违法发不法“通知”的责任？我要告，是不是告我们本家的李庆鹤院长？
008.告徐余.txt	29	按“刁顽”之诽谤，也是沿自中国传统小百姓的落伍观念。这种观念认为打官司者是“刁民”、是“讼棍”、是“顽劣之徒”。这种观念所要求的性格是不讲是非权益，而讲“得饶人处且饶人”的乡愿性格。乡愿性格泛滥的结果，是是非颠倒，权益不明，对恶人不能惩治。西方法治的社会里就不这样，他们人人知道循法律途径解决问题的可贵，所以从英国哲学家罗素，直到法国性感明星BB，我们可以看到无数次的打官司的例子。打官司不但不是坏事，而且还是好事，这是世界文明国家的通例，不能抹杀。说诉诸法律的人是“刁顽”，是很明显的诽谤行为，而这种行为，正好被被告徐复观、余纪忠所分担，这是非常清楚的。又被告要求法院“斥不受理”云云，也是不合法的，因为按照《刑事诉讼法》第295条，不受理的情形，都是属于诉讼关系根本不发生或已经消灭的，所谓“斥不受理”的要求，全是不明法律的怪论！
