action	target	source_file	line_range	quote_or_candidate	reason
keep	LABKJ-001	001.李敖与“编辑室报告”.txt	9-9	顺你自己的性，做你自己的人	以顺从自我本性、成为自己来概括艺术家反传统的生命姿态。
keep	LABKJ-002	001.李敖与“编辑室报告”.txt	25-25	告朔饩羊	用只存形式而失其实质的古典成语形容貌似怀念。
keep	LABKJ-003	001.李敖与“编辑室报告”.txt	65-65	以天下与人易，为天下得人难。	以让天下给人容易、为天下求得人才困难说明知人善任之难。
keep	LABKJ-004	001.李敖与“编辑室报告”.txt	147-147	有所不为，尔后可以有为	以先能有所不做，才能有所作为概括狂狷之士的取舍。
keep	LABKJ-005	001.李敖与“编辑室报告”.txt	231-231	附庸风雅	形容缺乏真学问而装作文雅。
keep	LABKJ-006	001.李敖与“编辑室报告”.txt	231-231	焚琴煮鹤	比喻糟蹋美好而高雅的事物。
keep	LABKJ-007	001.李敖与“编辑室报告”.txt	235-235	妇人之仁	指出于浅近怜悯而缺乏通盘判断的仁慈。
keep	LABKJ-008	001.李敖与“编辑室报告”.txt	235-235	大慈大悲	以广大慈悲概括对生死痛苦的体恤。
keep	LABKJ-009	001.李敖与“编辑室报告”.txt	275-275	饮食男女，人之大欲存焉。	以饮食与男女之欲说明性欲为人的自然大欲。
keep	LABKJ-010	001.李敖与“编辑室报告”.txt	315-315	盲人领瞎马	以盲者带瞎马比喻缺乏方法训练后可能陷入危险。
keep	LABKJ-011	001.李敖与“编辑室报告”.txt	355-355	什么叫国故？与我们现今的世界有什么相关？它不过是世界一种古董。	以反问说明旧学若不能与当下世界相连，只会成为古董。
keep	LABKJ-012	001.李敖与“编辑室报告”.txt	393-393	不辞其志，不辱其身	以不放弃志向、不辱没自身概括严肃持守。
keep	LABKJ-013	002.《文星杂志选集》导言.txt	15-15	秋坟鬼唱	以秋坟鬼唱写被掩埋后的幽冷不平。
keep	LABKJ-014	002.《文星杂志选集》导言.txt	21-21	慎终追远	以谨慎追念过往来形容保存旧刊选集的苦心。
keep	LABKJ-015	004.“只要寻一个不受人惑的人”.txt	13-13	菩提达摩东来，只要寻一个不受人惑的人。	以达摩东来寻找不受迷惑者，说明独立思想的旨趣。
keep	LABKJ-016	005.被封杀的《千秋评论》.txt	3-9	自古功名亦苦辛，行藏终欲付何人？ /  / 当时黯黯犹承误，末俗纷纷更乱真。 /  / 糟粕所传非粹美，丹青难写是精神。 /  / 区区岂尽高贤意，独守千秋纸上尘。	以史传难尽人物精神、后世纷乱真伪写读史感慨。
keep	LABKJ-017	005.被封杀的《千秋评论》.txt	49-49	自古以来，凡在哲学上和神学上之争论，十分之九都是名词之争。	以多数哲学和神学争论归结为名词之争。
keep	LABKJ-018	005.被封杀的《千秋评论》.txt	49-49	剩下的那十分之一，其实也还是名词之争。	进一步把余下争论也归为名词之争，带出对概念争执的讽刺。
keep	LABKJ-019	005.被封杀的《千秋评论》.txt	81-81	有一分证据说一分话，有九分证据不能说十分话	以证据分量限制论断分量，强调著文立说的谨严。
