action	target	source_file	line_range	quote_or_candidate	reason
keep	LASHXJX-001	001.《李敖语录香港版》感言.txt	13-13	所过者化，所存者神	以感化与存留精神概括文字影响。
keep	LASHXJX-002	004.《国民党查禁李敖著作》序.txt	3-3	更无一个是男儿	以反诘语势写担当者之少。
keep	LASHXJX-003	004.《国民党查禁李敖著作》序.txt	5-5	心之所善，九死无悔	以九死不悔表现坚持本心。
keep	LASHXJX-004	004.《国民党查禁李敖著作》序.txt	9-9	不见尧存，甘同桀亡	用尧桀对举表达宁可同亡的极端态度。
keep	LASHXJX-005	006.《李敖作品精选集》总序.txt	3-3	文古无选，自昭明《昭明文选》始，而后世因有选体。	说明选本文体自《文选》以后形成谱系。
keep	LASHXJX-006	006.《李敖作品精选集》总序.txt	3-3	选之难倍于作	指出选文之难甚至超过创作。
keep	LASHXJX-007	007.《洗你的脑，掐他脖子》自序.txt	3-3	知其不可而为之	表现明知艰难仍然去做的行动意志。
keep	LASHXJX-008	007.《洗你的脑，掐他脖子》自序.txt	3-3	知我罪我	以知与罪并举，表示任由后人评断。
keep	LASHXJX-009	007.《洗你的脑，掐他脖子》自序.txt	3-3	圣人不空出，贤者不虚生	强调有才德者出现必有其用。
keep	LASHXJX-010	008.简介两种.txt	33-33	学问成家数	称真正有本领者可在多方面成家。
keep	LASHXJX-011	008.简介两种.txt	37-37	我手写我口	强调用自己的语言直接写作。
keep	LASHXJX-012	008.简介两种.txt	45-45	天行有常	用天道有常比喻创作节律自有秩序。
keep	LASHXJX-013	011.诗序李玠《大陆当代顺口溜赏析》.txt	3-17	办公事，腿要抽。\n\n办私事，心要钩。\n\n办好事，情要偷。\n\n办房事，精要丢。\n\n不报喜来不报忧，\n\n靠天靠地靠胡诌。\n\n何必敢言又敢怒，\n\n痛快全靠顺口溜。	以排比和俗语节奏写顺口溜的痛快感。
keep	LASHXJX-014	012.《文茜半生缘》序.txt	75-75	我挥一挥衣袖，不带走一片云彩	借离别诗句写洒脱离场。
keep	LASHXJX-015	014.复瓿书成空自苦，击辕歌罢遣谁听.txt	7-7	覆瓿书成空自苦，击辕歌罢遣谁听	以覆瓿与击辕写著书无人赏识之慨。
keep	LASHXJX-016	014.复瓿书成空自苦，击辕歌罢遣谁听.txt	7-7	韦编三绝	形容勤读反复，书编多次断裂。
keep	LASHXJX-017	014.复瓿书成空自苦，击辕歌罢遣谁听.txt	7-7	黄绢初裁	以黄绢新裁比喻文章初成。
keep	LASHXJX-018	015.序凉如水.txt	3-3	受想行识	指五蕴中的心理与认知层面。
keep	LASHXJX-019	015.序凉如水.txt	3-3	念兹在兹	表示一直把某事放在心上。
keep	LASHXJX-020	015.序凉如水.txt	7-7	碧落黄泉	用天上地下表示寻觅范围极广。
keep	LASHXJX-021	015.序凉如水.txt	7-7	佳作之秘，在旧事新说、新事旧说	说明好文章在于旧题新说或新题旧说。
keep	LASHXJX-022	015.序凉如水.txt	7-7	The secret of good writing is to say an old thing a new way or to say a new thing an old way.	以英文原句说明好写法的转换之道。
keep	LASHXJX-023	017.《好命操作手册》序.txt	3-3	罕言命	指出孔子很少谈命。
keep	LASHXJX-024	017.《好命操作手册》序.txt	3-3	死生有命、富贵在天	把生死富贵归于命与天。
keep	LASHXJX-025	017.《好命操作手册》序.txt	5-5	尽人事，听天命	强调努力之后顺其自然。
keep	LASHXJX-026	017.《好命操作手册》序.txt	7-7	怪力乱神	概括孔子不谈的异端神怪范围。
keep	LASHXJX-027	018.陆晋德译《飞鸟集》序.txt	3-3	好书，要能经得起时间的考验。	以时间作为好书的检验尺度。
keep	LASHXJX-028	018.陆晋德译《飞鸟集》序.txt	5-5	人生要加些东西，才能有价值	以加值观念说明生命要有所增益。
keep	LASHXJX-029	018.陆晋德译《飞鸟集》序.txt	5-5	音乐是由音符组成，人生是由片刻组成	把音乐与人生并举，强调片刻构成整体。
keep	LASHXJX-030	018.陆晋德译《飞鸟集》序.txt	7-7	人生没有爱，仿佛酒杯没有酒	以空酒杯比喻没有爱的生命。
keep	LASHXJX-031	018.陆晋德译《飞鸟集》序.txt	13-13	乌云可以是彩云	把阴暗事物转化为美感意象。
keep	LASHXJX-032	018.陆晋德译《飞鸟集》序.txt	15-15	“伟大”其实没这么伟大	借泰戈尔谈法反向削弱宏大词语。
keep	LASHXJX-033	018.陆晋德译《飞鸟集》序.txt	19-19	诗无训诂	指出诗歌不宜只从训诂解释。
keep	LASHXJX-034	020.我看《宰相刘罗锅》.txt	3-3	姑妄言之，姑妄听之	表示姑且说来，也姑且听之。
keep	LASHXJX-035	020.我看《宰相刘罗锅》.txt	7-7	指着和尚骂贼秃	比喻当面指桑骂槐。
keep	LASHXJX-036	020.我看《宰相刘罗锅》.txt	11-11	以贵公子、为名翰林、书名满天下，而自问则小就不可、大成不能、年八十五不知所终。	以自述概括才名、局限与晚年归宿。
keep	LASHXJX-037	020.我看《宰相刘罗锅》.txt	11-11	身后是非谁管得，	表达身后评价已非本人所能过问。
keep	LASHXJX-038	022.《胡适选集》五十年.txt	5-5	著作等身	形容著述数量极多。
keep	LASHXJX-039	022.《胡适选集》五十年.txt	9-9	你比我胡适之还了解胡适之！	以本人赞语肯定编选者对材料的熟悉。
keep	LASHXJX-040	022.《胡适选集》五十年.txt	11-11	墓草久宿	形容逝者已久。
keep	LASHXJX-041	022.《胡适选集》五十年.txt	13-13	斯文在兹，公道在兹	以文脉与公论并举，表示纪念版的意义。
keep	LASHXJX-042	006.《李敖作品精选集》总序.txt	3-3	出神入化	形容文字技艺达到高妙境界。
keep	LASHXJX-043	006.《李敖作品精选集》总序.txt	3-3	一应俱全	表示内容门类齐备。
keep	LASHXJX-044	006.《李敖作品精选集》总序.txt	3-3	自成一家	表示形成自己的风格和体系。
keep	LASHXJX-045	006.《李敖作品精选集》总序.txt	3-3	以一当八	以夸张语势称一人足抵多人。
keep	LASHXJX-046	008.简介两种.txt	9-9	名满天下，谤亦随之	以盛名与毁谤并至概括人物声名。
keep	LASHXJX-047	008.简介两种.txt	13-13	借尸还魂	比喻旧物换形后重新出现。
keep	LASHXJX-048	008.简介两种.txt	27-27	五十年来和五百年内，中国人写白话文的前三名是李敖，李敖，李敖	以戏谑夸张方式自评白话文写作地位。
keep	LASHXJX-049	008.简介两种.txt	29-29	学贯中西	形容学问贯通中外。
keep	LASHXJX-050	008.简介两种.txt	29-29	深入浅出	形容表达深入而易懂。
keep	LASHXJX-051	008.简介两种.txt	29-29	茅塞顿开	比喻忽然明白。
keep	LASHXJX-052	008.简介两种.txt	31-31	没死就要留皮	把留皮俗语改写为自传式比喻。
keep	LASHXJX-053	008.简介两种.txt	31-31	豹隐	以豹隐典故指隐伏不出。
keep	LASHXJX-054	008.简介两种.txt	31-31	豹变	以豹变典故指文采或形貌焕然一新。
keep	LASHXJX-055	008.简介两种.txt	37-37	一针见血	形容评论直接切中要害。
keep	LASHXJX-056	008.简介两种.txt	37-37	万箭穿心	形容文字攻击力极强。
keep	LASHXJX-057	008.简介两种.txt	37-37	神出鬼没	形容行文变化莫测。
keep	LASHXJX-058	008.简介两种.txt	37-37	善恶分明	形容判断标准清楚。
keep	LASHXJX-059	008.简介两种.txt	37-37	快人快语	形容说话爽直明快。
keep	LASHXJX-060	008.简介两种.txt	37-37	体大思精	形容文章体制宏大而思理精密。
keep	LASHXJX-061	008.简介两种.txt	39-39	匠心独运	形容构思独到。
keep	LASHXJX-062	008.简介两种.txt	39-39	妙手回春	比喻高明手法使事物恢复生机。
keep	LASHXJX-063	008.简介两种.txt	39-39	拍案惊奇	形容情节或见识令人惊叹。
keep	LASHXJX-064	008.简介两种.txt	41-41	别开生面	形容开创新的局面。
keep	LASHXJX-065	008.简介两种.txt	41-41	气象万千	形容文章气势丰富多变。
keep	LASHXJX-066	008.简介两种.txt	43-43	妙手偶得	形容佳作由灵巧笔法偶然得来。
keep	LASHXJX-067	014.复瓿书成空自苦，击辕歌罢遣谁听.txt	3-3	瞻之倩女，忽焉幽魂	用倩女与幽魂对照写红颜早逝之感。
