file	line	context
001.党外·党内·性.txt	83	国民党就像是这样子。国民党根本就是一个莫名其妙的党、一个胡作非为的党。到了台湾，忽然摇身一变，变成“大有为政府”了，要“跟民众站在一起”了，好像过去那些乌烟瘴气的事情都烟消云散了，并且把它的历史延伸到九十年之久了。变成国民党的革命史后，还把过去那些与它不相干的别人的革命史，都变成他们的。我觉得这太荒谬了，所以我要查清楚到底是怎么一回事，刘三就刘三，即使今天成了汉高祖，也不能说以前就不是刘三。
001.党外·党内·性.txt	107	胡适本是第一名
001.党外·党内·性.txt	113	在写了多一点的时候，难免会有一些可读性的高低差距，不过我认为我最低的，还是比别人最高的好，尤其是由“面”来看的时候。我记得艾森豪威尔说过：所有的将军都会发生错误，都会打败仗，可是好的将军错误发生得少。像我这样的好作家，可读性都会高，水准都比较好。或许偶尔会有点出入，但是比例较低。至于说别人的品质，我觉得很多看法都是不公平的，譬如说他们批评胡适学问很博但是不精，这是不公平的说法。胡适在每一个单项里，比别人研究了一辈子的都做得还要好。梁启超说胡适“学问成家数”，学问可以成一家、一家的来数出来，他是哲学家、他是历史家、他是文学家、他是考据学家、他是文学运动家、他是思想家，他可以成为多少项目的学问的专家，他每一个单项，都是可以贏过别人的。可是别人只会一个单项，就变成“专家”。然后就说胡适学问太博了、太多了、不精了，说他可读性不高了，我觉得这太不公平了。
001.党外·党内·性.txt	115	■我认为胡适他跟同一时期世界性的哲学家比，他比不上……
001.党外·党内·性.txt	141	■所谓强的人会低头，能不能解释一下。
001.党外·党内·性.txt	143	□强人能够“知耻近乎勇”，有勇气去认错，那是英勇的表现。有一次邓维桢谈到当年雷震坐牢的时候，胡适不去看雷震，有人说胡适没有勇气。邓维桢讲了一句话很有道理，他说不去看雷震，也要勇气，因为不去看雷震，那么多朋友会不谅解，而胡适无法一一解释。这就需要忍耐这种误解、需要勇气。柏杨坐牢的这种情形，是无法跟我比的。不过有一点是，柏杨在牢里的时候很孤单，他的案子很孤单。他不像我们，我们这些人在牢里，类似帮会一样，有帮口势力，所以柏杨的立场不同。柏杨刑期服满之后，没有放他，而把他放到绿岛，不让他回来，希望他做教官，比照红卫兵王朝天的例子处理。就是说你不是罪犯，可是你就是不能回来。本来他们是预备把柏杨那样子处理的，后来刑期服满之后，多延长一段时间才放他回来，所以他可能变得比较孤单。
001.党外·党内·性.txt	149	□我做人胆大心细，我讲话能说善道，我写文章波澜壮阔、风起云涌，这都是我的群众魅力。
001.党外·党内·性.txt	165	□我在《中国时报》《联合报》看到很多三点露的镜头，可是我也没看到主张三点不露的宋楚瑜去取缔过，我怕我今天三点要是露一点的话，宋楚瑜就要吃奶，所以还是三点不露的好。别忘了国民党见奶就是要吃的。
001.党外·党内·性.txt	169	■你的文章有一些词句和性有关系，为什么有这些词句？
001.党外·党内·性.txt	181	□这个传闻如果属实的话，应该是十八岁以下的。这是个很好玩的题目。很好笑，我喜欢的女人都是琼瑶小说里的女人，苍白的、忧郁的、年轻的、讲话不粗鲁的，可是事实上我现在已经太老。虽然在外国也有例子，像波·德瑞克，她自己十八岁，她的丈夫有五十二岁。不过这种年龄上的差距，在外国也是相当困难，像杜鲁道与他相差二十八岁的太太，纠纷还是有的，所以我无所谓小妞不小妞，我觉得谁好玩就追谁。要追就追十八岁，二十岁太老了。
001.党外·党内·性.txt	195	□我会死无葬身之地，所以不发生这个问题，英国诗人济慈说他名字写在水上，我的墓志铭呢？写在天上好了。（郑南榕访问，1983年3月12日）
002.言论自由第一优先.txt	15	这两段话显示邓维贤并不了解，我力争杂志社在后援会会员资格的苦心。我在会中所力争的并不是权利，而是民主原则。我所“自我期许”的并非无条件的奉献，而是要设计一个能够团结党外的内部民主程序。所以，当时我在“党外杂志编辑作家联谊会”会长、代表《博观》的林浊水上台表示“不坚持会籍”之后，还独持异议说：
002.言论自由第一优先.txt	99	言论自由对党外说来，是我们最该维护的原则，也是我们最大的坚持，它是一个“自变数”（independent variable），不是一个“因变数”（dependent variable），你在第一次坚持里，显然有国会有权剥夺它的默认，你显然认为只要经过“民主程序”就可以这么做了，这是危险的。直到你最近这一次坚持——第二次坚持，坚持杂志有言论自由，才完全滑入正确的轨道，虽然你的坚持，党外人士第二次还是没有仔细考虑你“这段话的苦心”，又反证了这些人的大脑还是浆糊！
003.是该打屁股的！.txt	7	回想一年前应你之邀，挂上这纯挂名头衔，虽近似胡适让《自由中国》挂名，意在支持后进、声援朋友、鼓舞同志，但总未免有所诚恐，因我毫不介入编务，深怕有过度南辕北辙之异，使人以为是我“总监”下的产品，反倒纷纭。这并不是说你们南辕我北辙时，错的一方一定是你们，但既挂名“总监”，总未免给人一点负责“品管”的印象，虽然“总监”两字的定义，我至今还不完全清楚。只知道它没有法律上的定义与责任，但在法律以外，我总觉得似乎我不无责任。——不无模模糊糊的责任。
003.是该打屁股的！.txt	17	像这种文字，就是“品管”有毛病的文字。毛病不在说捏造历史不对，而在说《蒋总统秘录》不对。因为捏造孙中山弥留期间的话，并不从《蒋总统秘录》始，早在1936年钦定的《民国十五年以前之蒋介石先生》巨帙中，就开始了。这书“第七编五黄埔训练时期1925年三十岁4月至6月”内，5月8日条下，就有妙文曰：
004.给林正杰先生的公开信.txt	9	另一种利用李敖的方式，完全免费，但要诉诸李敖的侠骨豪情。党外新生代所办刊物，与李敖会师之后，联手打击魔鬼，修理传统，制裁恶势力，李敖所写的五十多篇文章，从来没有收过一毛钱的稿费。
004.给林正杰先生的公开信.txt	21	不料我一离开《前进》，你展示给我的反省，竟是用署名“花莲·番薯”的所谓“投书”来修理我这功臣了，这样高速的忘恩负义、过河拆桥，我看了真很难过。1983年11月24日，我写信给你们的发行人蔡式渊，我说：
004.给林正杰先生的公开信.txt	27	看到了吧，式渊先生，两个月前，《前进》的白纸黑字还夸奖我，“炮口朝内”呢！两个月后，同一个《前进》的白纸黑字，却责备我“刀口向内”了；两个月前，还歌颂我“与党外新生代所办刊物……联手打击魔鬼”呢！两个月后，却挖苦我不“互相扶持、同舟共济”了；两个月前，还呼吁“发育中的党外”要“应多参考”李敖的文章，“避免成为类似当前官场的小格局政客”呢！两个月后，居然“小眼睛”“不识大体”的，不是“政客”而是李敖了！式渊先生，你不觉得很滑稽吗？你不觉得这种“新生代”的是非品质与道德品质，有了一点故障了吗？在我李敖肯为《前进》“利用”，《前进》就奉为上宾；在我李敖看不惯《前进》走“小政客”路线，而退出《前进》时候，《前进》就高速转向，“拥抱老康”，打李敖耳光了，我给正杰先生祖珺女士信上说：“合作一回，打个耳光算做报酬。”如今光犹在耳，竟在耳光之外，踢我一脚了。式渊先生，你是君子人，这不是你的意思吧？你是发行人，你不能不负责吧？
004.给林正杰先生的公开信.txt	37	因此，我总觉得，您如果有真正的死党，应该是我。我绝不会“利用”你（上次写序《如何利用李敖》就是把所谓利用做一个有趣的注脚），我也绝不会在任何情况下对您有所误解。不知道有没有对您说过，您当年对胡适之的情结，就好像我对您的情结一样。
004.给林正杰先生的公开信.txt	45	你这封信中对我说的话，我当然是要“从好的一方面设想”你的“立场”的，我当然要给你这位口口声声“李大哥”的小兄弟“说说清楚”的机会，虽然我末免觉得，“说说清楚”的，有的也似乎只是说得漂亮而已。例如你口口声声说：“对任何人，只要批评您……我都会替您辩护。”话是何等漂亮！但是近在眼前的“花莲·番薯”的所谓“投书”，对“李大哥”百般诬谤，你可曾替“李大哥”“辩护”了一个字？不但不“辩护”，你的希旨承风的左右们，还乐为刊出呢！
004.给林正杰先生的公开信.txt	77	当然，我知道你不会如你所说的“对李敖的文章应多参考，少生气”的，你的“我们应该是终生的朋友”的美妙言词也只是美妙言词而已。在多次背后对我的中伤以后，你终于要正面对你“最尊敬的”开刀了。今年2月22日出版的《前进》上，你终于刊出了《向李敖挑明》，诬蔑李敖“不想看到党外团结”等话，实在不值识者一笑，且不说它，我最感兴趣的，是“掌握”所谓有“‘独家内幕资料’以及对李敖二三十年来作品内容的分析，和他待人处事的观念和行径的了解”，并恐吓“我们对李敖的所有行径将不会再有任何的保留”。这太有趣了。二三十年来，我早就被国民党报纸、杂志、专书、广播、电视、口语、风传、法院、监狱……没有“任何的保留”二三十年，什么风波没见过？什么诽谤没碰过？什么造谣诬蔑没领教过？你们有“独家内幕资料”等等，欢迎一一提出来，提出来才算好汉。当然真的好汉，也该提他自己的“行径”，或面对别人提他自己的“行径”，例如林正杰为什么把政大女生、把杨祖珺介绍给李敖？例如林正杰为什么向国民党议长张建邦秘密借钱？例如林正杰和他特务系统爸爸、哥哥的真正关系为何？例如林正杰怎样向帮他忙的沈登恩逼债？例如林正杰从李敖身上赚的钱都怎么开支掉了？例如林正杰和陈文成基金会、《深耕》杂志社的财务疑案如何了？例如林正杰的党羽如何向李敖借房未遂就反目寻仇？这种党羽又如何吃朋友、把发妻寄在朋友家里，在外大玩女人……凡此种种，岂不都是多彩多姿之事？岂不都是令人大开眼界的“内幕资料”？
004.给林正杰先生的公开信.txt	81	唉，正杰先生，我可以让你把对我说的名句“朝圣”“偶像”“死党”“终生的朋友”“可以百分之百互信的朋友”等等都收回；我可以让你把对我说的赞美“尊敬”“最尊敬”“侠骨豪情”等等都作废；我可以让你把“任何人”只要批评我你就都会替我“辩护”的好意都取消；我可以让你把“任何情况下”你和我“两个人都可以互相信赖”的保证都撤走。……但是，当你登出我因书销路不好，而“想以打击《前进》作为挽救他濒于谷底的窘境”的话，我却真想永远保留这一段风凉话、奚落话、无情话，作为我五十年来知你不明的炯戒！——想当年是应你之请，靠李敖招牌为《前进》打歌、帮《前进》起家的。你说《前进》的知名度，要靠名满天下的“李大哥”的帮忙才会响起来。可是，曾几何时，帮了忙，《前进》羽翼已成、翅膀硬了，居然造谣说我要靠打击《前进》来建立知名度了。我活了五十年，所遇人间的颠倒黑白无数，但是像你正杰先生这样高速忘恩负义、过河拆桥的，真可说平生仅见！我感谢你留给我这么鲜明、这么现实、这么活生生的一个史例，你使我终于告诉自己：人间竟会有这种“前进”的人、人间竟会有这样“前进”的人，皇天后土，我该永不忘记！
004.给林正杰先生的公开信.txt	111	《前进》系列曾受流言中伤，对《发扬》系列的类似传言，也偶有所闻。在《发扬》系列创办不久后，甚至有几位朋友言之凿凿地告诉我们《发扬》和特务系统的关系，这些朋友希望《前进》能调整刊期，和《发扬》同时出刊，以压制《发扬》的火力。这段过程有当时任职《发扬》的编联会纪律委员黄嘉光先生可资作证，当时，我们经过再三考量质疑后，对该项说法，不予采信。
