id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LAFAD-001	李敖发电集	001.1999年12月1日.txt	17	17	人死为大	传统俗语	中国俗语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-002	李敖发电集	003.1999年12月3日.txt	17	17	烦恼皆因强出头	传统俗语	传统老话	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：虽出现在现代政论段落中，但 quote_text 本体不含现代政治判断。
LAFAD-003	李敖发电集	003.1999年12月3日.txt	17	17	既不能令、又不受命	儒家文句	《孟子》文句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：古典文句本体可独立成立，未收现代政治判断部分。
LAFAD-004	李敖发电集	008.1999年12月10日.txt	9	9	我五十几看到美女，还动手；可是六十几看到美女，我只动心而已。	李敖幽默语	李敖	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-005	李敖发电集	009.1999年12月13日.txt	9	9	自然最怕虚空	外国哲学格言	莱布尼兹语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-006	李敖发电集	012.1999年12月16日.txt	31	31	水深波浪阔，无使狡龙得	唐诗句	杜甫《梦李白》诗句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-007	李敖发电集	012.1999年12月16日.txt	37	37	真的假不了，假的真不了	俗语格言	警总问案口头禅，李敖称为十字真言	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-008	李敖发电集	014.1999年12月20日.txt	27	27	大梦谁先觉	古典诗文成句	古典成句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-009	李敖发电集	014.1999年12月20日.txt	27	27	大梦即先觉	李敖改句	李敖改“大梦谁先觉”	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-010	李敖发电集	016.1999年12月22日.txt	49	49	近水楼台先得月	传统成语	传统成语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
