id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LAFYKTW-001	keep-initial	古典诗句	时穷节乃见	文天祥相关诗句	001.放别人水与放自己水.txt	19	19	李敖引文天祥诗意，说明困厄时节操才显现。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-002	keep-initial	西方谚语	一个人的食物是另一个人的毒药。	英文谚语 One man's meat is another man's poison	003.他们的食物是我们的毒药.txt	3	3	李敖引西方谚语，说明人与人立场、禀性不同，同一事物会有相反感受。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-003	keep-initial	传统成句	放之四海而皆准、俟诸百世而不惑	中文传统成句	005.与虎谋皮的先决条件.txt	35	35	李敖借传统成句，指称自以为普遍有效、百世不疑的固定原则。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-004	keep-initial	古典成句	薄天子而不为	中文古典成句	005.与虎谋皮的先决条件.txt	45	45	李敖引古典成句，形容轻视最高权位而不取。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-005	keep-initial	俗语格言	成则为王败则为寇	中文俗语	005.与虎谋皮的先决条件.txt	45	45	李敖引俗语，写成败转化为名分评价的世俗逻辑。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-006	keep-initial	古典文句	不敢言而敢怒	杜牧《阿房宫赋》相关文句	005.与虎谋皮的先决条件.txt	53	53	李敖借古典文句，写人在压抑中不敢发声而心中怨怒。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-007	keep-initial	古典文句	独夫之心，日益骄固	杜牧《阿房宫赋》相关文句	005.与虎谋皮的先决条件.txt	53	53	李敖引《阿房宫赋》文意，写独断者在沉默环境中愈发骄横固执。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-008	keep-initial	古典诗句	狭巷短兵相接处，杀人如草不闻声。	沈明臣《铙歌》	005.与虎谋皮的先决条件.txt	57	57	李敖引明人诗句，写无声暴烈比单纯暴烈更可怕。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-009	keep-initial	化用诗句	“文”前作剧莫相笑，我死诸君思此狂。	李敖改写陆游诗句	006.从国民党式强奸到党外主流派式强奸.txt	147	149	李敖化用陆游诗意，为自己写作与身后评价作戏谑式自题。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-010	keep-initial	文坛轶事语	郭良蕙啊！这件事有两个错误：第一个错误是他们不该开除你；第二个错误是你不该加入。	梁实秋轶事	007.你们可以不怕他.txt	7	7	李敖引梁实秋答郭良蕙语，保存一则文坛机锋。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
