file	line	text
003.沈登恩.txt	3	与陈良埙、沈登恩午饭。饭后去参观远景台大店。登恩搞出版，造次必于是、颠沛必于是，在出版上的精神与信念，非任何市井出版商可及。可惜他时运不济，一次《诺贝尔文学奖全集》计划失败，害得他至今万劫难复。失败之后，他备受人间冷暖。但我一直对他不冷。每逢年节及我生日，他必亲送礼物以示不忘。小沈亦性情中人也！（1991年12月14日）
004.路上拾遗所见.txt	7	你明明知道：
004.路上拾遗所见.txt	11	你明明知道：
004.路上拾遗所见.txt	15	你明明知道：
004.路上拾遗所见.txt	19	你明明知道：
004.路上拾遗所见.txt	23	你明明知道：
004.路上拾遗所见.txt	27	你明明知道：
004.路上拾遗所见.txt	31	你明明知道：
004.路上拾遗所见.txt	35	你明明知道：
004.路上拾遗所见.txt	39	你明明知道：
004.路上拾遗所见.txt	43	你明明知道：
005.每人每年只花二十元买书.txt	3	今日《中央日报》记者陈济元采访报导：行政院新闻局副局长廖正豪，昨天应文化大学新闻研究所之邀，做专题演讲时指出，四十余年以来，国人的生活从勉强温饱，到今天衣食无缺、生活富裕，物质生活已不虞匮乏，然而，精神生活却极为贫乏。据统计国人每年每人花在购买图书出版品的钱，平均才二十元新台币而已。廖正豪表示，国人应在“饱暖思艺文”，重新省思对固有民俗文化的参与程度，借以提升生活的品质云。
005.每人每年只花二十元买书.txt	5	这种现象出自主管图书出版品的头子之口，而自己不以为羞，真官僚也！前新闻局长邵玉铭在所谓第一届“全国文化会议”时指出：解严前，台湾杂志社是3132家，解严后达四千家，成长率是27.7%。但根据1987年主计处调查，15岁以上台湾地区的人口，每日拥有自由休闲时间平均为6小时11分，其中阅读报章、杂志或小说的时间仅占22分钟，显示国人阅读风气仍待加强。另外，1988年每户平均可支配所得为41万483元，而其中用于购买书报杂志文具类之平均费用，仅为3969元，比例尚不足1%。
006.《中央日报》乱说人是民进党.txt	1	《中央日报》乱说人是民进党
006.《中央日报》乱说人是民进党.txt	3	今日《中央日报》登：
008.“蒙最高法院判死刑定谳”.txt	3	今天《联合报》登：
009.选举与风水.txt	3	今日《联合报》登：中华民国地理师协会副理事长陈冠宇说：每次的选举前，有些名气的地理师总是异常忙碌，常会受托替好几个候选人算运势、看风水，当地理师向某些原本打算参选的人表示，今年的“运”不旺，常令他们打消念头，干脆先为人抬轿，择年再参选。除此，请地理师为候选人的竞选总部看风水，也是相信风水的候选人必经的程序。
011.郝军头所信何教？.txt	3	今天《中央日报》：“行政院长郝柏村夫妇，昨天晚上参加了基督教台北卫理堂星期团契主办的圣诞感恩圣乐崇拜。郝院长夫妇是应总统府资政李国鼎的邀请，参加了圣诞感恩圣乐崇拜。他们于7时25分抵达位于新生南路的卫理堂。”
012.高玉树无耻.txt	3	今天《联合报》有大标题广告：“高玉树暨全国民主非政党联盟重要声明”，其中第三条竟出现“感谢民主政治元老总统府资政高玉树先生以顾问身份助选”的文字，自己“重要声明”感谢自己，高玉树太无耻了吧？（1991年12月20日）
