score	file	line	text	context
5	《国民党研究》目录.txt	5	意淫大陆，手淫台湾	002.国民党“意淫大陆，手淫台湾”
3	《国民党研究》自序.txt	3	国民党中有坏人也有好人。因为有坏人，所以无法把国家治好，丢了大陆；但因为有好人，所以虽然丟了大陆，还没完全垮台。	一个老国民党员吴越潮，有一天向我说：“国民党中有坏人也有好人。因为有坏人，所以无法把国家治好，丢了大陆；但因为有好人，所以虽然丟了大陆，还没完全垮台。”我回答道：“我承认国民党中有好人，但是有了又怎样？有了还不是有意无意间帮助坏人作恶？二十年前，在美国新闻处副处长司马笑（John Alvin Bottorff）的家里，叶公超就向我说，他加入国民党，原希望他两...
3	《国民党研究》自序.txt	3	我承认国民党中有好人，但是有了又怎样？有了还不是有意无意间帮助坏人作恶？二十年前，在美国新闻处副处长司马笑（John Alvin Bottorff）的家里，叶公超就向我说，他加入国民党，原希望他两脚踩到泥里，可以把国民党救出来，结果呢，他不但没把国民党救出来，反倒把自己陷进去。可见纵使好人，加入了国民党，也无补于他自己的牺牲，只是帮国民党苟延残喘而已。	一个老国民党员吴越潮，有一天向我说：“国民党中有坏人也有好人。因为有坏人，所以无法把国家治好，丢了大陆；但因为有好人，所以虽然丟了大陆，还没完全垮台。”我回答道：“我承认国民党中有好人，但是有了又怎样？有了还不是有意无意间帮助坏人作恶？二十年前，在美国新闻处副处长司马笑（John Alvin Bottorff）的家里，叶公超就向我说，他加入国民党，原希望他两...
3	《国民党研究》自序.txt	5	我们今天都已成了亡国之民	1950年，国民党总裁蒋介石已自承“我们今天都已成了亡国之民”，其实他们亡国之日，也就是亡党之时，1950年以来在台湾的国民党，只是尸居余气的一个家天下而已。这个家天下随着蒋介石、蒋经国父子的双亡，如今已濒临解体。目前这些蒋家家奴们，打算把“革命民主政党”的基本体制，有以转化，妄想适应新潮，其实绝无光明前途可言，在历史家眼中看来，他们只是回光返照而已。
8	001.国民党建党有九十年吗？.txt	15	知当时实事者已少，夸诞之士，乃欲一切笼为己有	照这五个阶段，联结起来，是有九十年没错，但是，账不能这样算法——不能一网兜收、好事全归给自己这样算法，这样算法，就未免“贪天之功”又“贪人之功”了。半个世纪前，革命元勋章炳麟（太炎）为《中华民国开国前革命史》写序，他就愤怒于“知当时实事者已少，夸诞之士，乃欲一切笼为己有”，已经明明指出国民党在历史上动手脚。到台湾后，国民党在历史中“自我涉入”（egoinvo...
4	001.国民党建党有九十年吗？.txt	15	贪天之功	照这五个阶段，联结起来，是有九十年没错，但是，账不能这样算法——不能一网兜收、好事全归给自己这样算法，这样算法，就未免“贪天之功”又“贪人之功”了。半个世纪前，革命元勋章炳麟（太炎）为《中华民国开国前革命史》写序，他就愤怒于“知当时实事者已少，夸诞之士，乃欲一切笼为己有”，已经明明指出国民党在历史上动手脚。到台湾后，国民党在历史中“自我涉入”（egoinvo...
4	001.国民党建党有九十年吗？.txt	15	贪人之功	照这五个阶段，联结起来，是有九十年没错，但是，账不能这样算法——不能一网兜收、好事全归给自己这样算法，这样算法，就未免“贪天之功”又“贪人之功”了。半个世纪前，革命元勋章炳麟（太炎）为《中华民国开国前革命史》写序，他就愤怒于“知当时实事者已少，夸诞之士，乃欲一切笼为己有”，已经明明指出国民党在历史上动手脚。到台湾后，国民党在历史中“自我涉入”（egoinvo...
3	001.国民党建党有九十年吗？.txt	15	自我涉入	照这五个阶段，联结起来，是有九十年没错，但是，账不能这样算法——不能一网兜收、好事全归给自己这样算法，这样算法，就未免“贪天之功”又“贪人之功”了。半个世纪前，革命元勋章炳麟（太炎）为《中华民国开国前革命史》写序，他就愤怒于“知当时实事者已少，夸诞之士，乃欲一切笼为己有”，已经明明指出国民党在历史上动手脚。到台湾后，国民党在历史中“自我涉入”（egoinvo...
3	001.国民党建党有九十年吗？.txt	15	一切笼为己有	照这五个阶段，联结起来，是有九十年没错，但是，账不能这样算法——不能一网兜收、好事全归给自己这样算法，这样算法，就未免“贪天之功”又“贪人之功”了。半个世纪前，革命元勋章炳麟（太炎）为《中华民国开国前革命史》写序，他就愤怒于“知当时实事者已少，夸诞之士，乃欲一切笼为己有”，已经明明指出国民党在历史上动手脚。到台湾后，国民党在历史中“自我涉入”（egoinvo...
3	001.国民党建党有九十年吗？.txt	15	庆祝建党九十年	照这五个阶段，联结起来，是有九十年没错，但是，账不能这样算法——不能一网兜收、好事全归给自己这样算法，这样算法，就未免“贪天之功”又“贪人之功”了。半个世纪前，革命元勋章炳麟（太炎）为《中华民国开国前革命史》写序，他就愤怒于“知当时实事者已少，夸诞之士，乃欲一切笼为己有”，已经明明指出国民党在历史上动手脚。到台湾后，国民党在历史中“自我涉入”（egoinvo...
