id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LADXHQJ-001,大学后期日记甲集,1958年6月,001.1958年6月.txt,195,195,昔为座上客，今为阶下囚,传统成句,传统成句，原文转引,以座上客、阶下囚的反差形容关系地位变化。,
LADXHQJ-002,大学后期日记甲集,1958年6月,001.1958年6月.txt,241,241,不与盛气人争是非,古代修养格言,吕坤语，原文明注,以吕坤语提醒不与盛气或反常状态下的人争是非。,
LADXHQJ-003,大学后期日记甲集,1958年6月,001.1958年6月.txt,275,275,辛苦成巢君莫笑,古典诗句,诗句，原文未详,李敖以此诗句联想到雅室与逸兴。,
LADXHQJ-004,大学后期日记甲集,1958年6月,001.1958年6月.txt,299,299,上帝在创造中发现自己,外国诗人格言,泰戈尔语，原文明注,以泰戈尔语说明创造生活的意义。,
LADXHQJ-005,大学后期日记甲集,1958年6月,001.1958年6月.txt,499,499,高山仰止，景行行止,诗经成句,《诗经·小雅·车辖》句,用《诗经》成句表示对孔夫子的尊敬。,
LADXHQJ-006,大学后期日记甲集,1958年6月,001.1958年6月.txt,501,501,于“止”，知其所“止”，可以人而不如鸟乎？,大学文句,《大学》引孔子语，原文转引,借《大学》中知止之语说明人应知道所止。,
LADXHQJ-007,大学后期日记甲集,1958年6月,001.1958年6月.txt,527,527,礼有三本。天地者，生之本也；先祖者，类之本也；君师者，治之本也。,礼记文句,《大戴礼记》语，原文明注,以三本之说阐释天地、先祖、君师在礼中的根本地位。,
LADXHQJ-008,大学后期日记甲集,1958年6月,001.1958年6月.txt,529,529,有功德于民,礼记成句,《礼记》语，原文转引,以有功德于民说明道教文中敬神对象的标准。,
LADXHQJ-009,大学后期日记甲集,1958年6月,001.1958年6月.txt,533,533,清静、无为、自然、顺化,道教成语,道教文献语，原文转述,概括道教所谓神道目的的修养语。,
LADXHQJ-010,大学后期日记甲集,1958年6月,001.1958年6月.txt,535,535,四海一家,古典成语,传统成语，原文转引,表达四海之内一家的观念。,
LADXHQJ-011,大学后期日记甲集,1958年6月,001.1958年6月.txt,535,535,民胞物与,宋儒成语,张载《西铭》语意，原文转引,表达视民为同胞、万物为同类的观念。,
LADXHQJ-012,大学后期日记甲集,1958年6月,001.1958年6月.txt,539,539,创修庙宇，百福骈增，千祥云集。,宗教劝善语,《阴隲文》语，原文明注,以修庙获福的善书句劝募。,
LADXHQJ-013,大学后期日记甲集,1958年6月,001.1958年6月.txt,539,539,修整庙宇，加福增寿，添子益孙,宗教劝善语,《觉世经》语，原文明注,以修整庙宇可增福寿子孙的善书句劝募。,
LADXHQJ-014,大学后期日记甲集,1958年7月,002.1958年7月.txt,45,45,何处合成愁，离人心上秋，纵芭蕉不雨也飕飕！都道晚凉天气好，有月明，怕登楼。年事梦中休，花空烟水流，燕辞归客尚淹留，垂柳不萦裙带住，谩长是，系行舟。,宋词,吴文英《唐多令》,吴君特《唐多令》全文。,
LADXHQJ-015,大学后期日记甲集,1958年7月,002.1958年7月.txt,73,73,难逢干将成侠气，欲隐小阁治新经。,朋友佳句,马戈佳句，原文明注,老马关于侠气与治新经的两句佳句。,
LADXHQJ-016,大学后期日记甲集,1958年7月,002.1958年7月.txt,207,207,过多的阅读是一种心智的压迫，熄灭了天然的灵光，世界上所以有许多愚昧的学者，原因在此。,外国读书格言,William Penn 语，原文明注,批评过量阅读会压迫心智、熄灭天然灵光。,
LADXHQJ-017,大学后期日记甲集,1958年9月,004.1958年9月.txt,53,57,"人间有湖滨，
湖滨亦人间。",朋友留言诗,翁留言，原文列为留言,翁看见李敖桌上诗句后所留的两句短诗。,
LADXHQJ-018,大学后期日记甲集,1958年10月,005.1958年10月.txt,125,125,耻与鱼鳖计,古典成句,古典文句，原文未详,用不屑同鱼鳖计较之意说明不辩白、不理会。,
LADXHQJ-019,大学后期日记甲集,1958年10月,005.1958年10月.txt,143,143,一个女人对一个男人可能影响一生，可是一个男人之于一个女人，离开后，她不是为他立刻自杀，就是在一个月后把他忘得一干二净了。,现代性别格言,无名格言，原文称“这是谁说的？”,关于男女感情影响差异的无名格言。,
LADXHQJ-020,大学后期日记甲集,1958年10月,005.1958年10月.txt,145,145,女人就是这样一种动物，你无论给她什么，她都能穿在身上。,朋友俏皮格言,周弘语，原文明注,周弘关于女性穿戴能力的俏皮格言。,
