action	target	source_file	line_range	quote_or_candidate	reason
keep	LAMCRJ-001	001.软禁残记.txt	5-5	长安居，大不易	以长安居住不易映照幽居处境。
keep	LAMCRJ-002	001.软禁残记.txt	155-155	岂有文章惊海内，漫劳车马驻江干。	以文章名声反衬门外车马来驻。
keep	LAMCRJ-003	001.软禁残记.txt	181-181	本为卖文活，翻令室倒悬。	以卖文谋生却累及居室困顿写写作困境。
keep	LAMCRJ-004	001.软禁残记.txt	515-515	所有伟大生活都有无趣的阶段。	罗素以伟大生活中常有平淡阶段勉人耐住寂寞。
keep	LAMCRJ-005	001.软禁残记.txt	515-515	伟人的生活除了少数伟大时期外，并无令人兴奋的地方。	罗素说明多数伟人只有少数时刻显得激动，其余生活平静。
keep	LAMCRJ-006	001.软禁残记.txt	515-515	从全体看来，安静的生活是伟人的特征，他们的喜乐并不是世俗心目中所认定的那一种。一切伟大的成绩必由于历久不懈的工作，其全神贯注与繁重程度，使人没有余力去从事狂热的娱乐。……	罗素认为安静生活常是伟人成就的底色，成果来自持续而专注的工作。
keep	LAMCRJ-007	004.5月26的日记.txt	25-25	公差强人意，隐若一敌国矣！	以吴汉临阵镇定比喻面对困难仍能稳定人心。
keep	LAMCRJ-008	008.代曹禺驳夏志清.txt	7-7	从日记上可看出一个人的优柔，太琐碎的日记更是如此。	以日记琐碎映出性格优柔。
keep	LAMCRJ-009	008.代曹禺驳夏志清.txt	15-15	浊世之佳公子	以旧式品评语描写吴祖光早年气质。
keep	LAMCRJ-010	009.1月的日记.txt	15-15	漫劳海内传名字	唐伯虎画题中的名声感叹。
keep	LAMCRJ-011	009.1月的日记.txt	15-15	书本自惭称学者，众人疑道是神仙	唐伯虎以学者自惭、旁人疑为神仙写画中人物。
keep	LAMCRJ-012	009.1月的日记.txt	19-19	君子爱人以德	以德义成全所爱之人。
keep	LAMCRJ-013	010.2月的日记.txt	331-331	且拾级直参紫府；乍回首已隔红尘	以拾级入山与回首红尘写入庙境界。
keep	LAMCRJ-014	010.2月的日记.txt	331-331	指地玄门开觉路；南天紫府渡迷津	以玄门、觉路、迷津写道观劝化语。
keep	LAMCRJ-015	011.3月的日记.txt	297-297	莲生淤泥中，不与泥同调。食莲谁不甘？知味良独少。	李敖借咏莲诗句自况，不与污泥同调而知味者少。
keep	LAMCRJ-016	012.4月的日记.txt	69-69	岸绝船通马；沙交路入河。	以岸绝、船通、沙交、路入构成山水行旅联语。
keep	LAMCRJ-017	012.4月的日记.txt	235-235	进不得相合，退不能相忘。	以进退两难写相知者难合亦难忘。
keep	LAMCRJ-018	012.4月的日记.txt	261-261	江湖愈老，胆子愈小	以江湖经验越深越知谨慎作处世提醒。
keep	LAMCRJ-019	013.欲看湖光不自由.txt	17-17	取法乎上，仅得其中	以高标准要求却只能得到中等效果说明理想与实行之间常有折扣。
keep	LAMCRJ-020	013.欲看湖光不自由.txt	27-27	行百里者半九十	以行程将近终点仍最艰难提示慎终。
keep	LAMCRJ-021	013.欲看湖光不自由.txt	37-37	圣号观音应念寻声为救苦；寺名玄奘果然无刹不现身。	以观音寻声救苦、玄奘无刹不现身写寺中联语。
exclude	self_written_poems	014.夺魄的代价.txt	35-41	昨日成今日，今日气何如？……	李敖自作且依附当日事件。
exclude	private_phone_couplets	012.4月的日记.txt	249-259	五十开始，音容宛在；百年以后，尸骨无存。 / 六亲不认，专心写作；四面树敌，一意孤行。	电话戏联，作者与归属不宜作外部引用。
exclude	dramatic_lines_in_event_context	015.垦丁随记.txt	17	青天白日你在做梦 / 我愿死在他乡做鬼魔	戏曲台词被当场转作时事讽喻，暂不收。
exclude	classic_saying_in_public_event_article	017.李登辉对谁而发.txt	7	民无信不立	整篇围绕现代公共人物与公开承诺，暂不收。
exclude	religious_taboo_material	015.垦丁随记.txt	33-45	《戒淫证集》房事禁忌条文	善书禁忌材料，非诗文格言歌谣引用。
